#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
3098                 -         5S_rRNA              RF00001    cm        1      119        3      123      +    no    1 0.51   0.0   84.6   1.9e-17 !   [C28989; 123bp]
140                  -         tRNA                 RF00005    cm        1       71     2069     2140      +    no    1 0.35   0.0   60.9   2.8e-12 !   [scaffold246; 2923bp]
8                    -         tRNA                 RF00005    cm        1       71     4706     4634      -    no    1 0.52   0.0   60.6   3.3e-12 !   [scaffold53; 299672bp]
17                   -         tRNA                 RF00005    cm        1       71   105650   105578      -    no    1 0.52   0.0   60.6   3.3e-12 !   [scaffold104; 169973bp]
104                  -         tRNA                 RF00005    cm        1       71     7814     7741      -    no    1 0.26   0.2   60.6   3.4e-12 !   [scaffold83; 12741bp]
54                   -         tRNA                 RF00005    cm        1       71    61490    61418      -    no    1 0.52   0.0   60.5   3.5e-12 !   [scaffold234; 76036bp]
17                   -         tRNA                 RF00005    cm        1       71   136980   137052      +    no    1 0.53   0.0   60.5   3.5e-12 !   [scaffold104; 169973bp]
81                   -         tRNA                 RF00005    cm        1       71    13723    13795      +    no    1 0.53   0.0   60.5   3.5e-12 !   [scaffold129; 31883bp]
4                    -         tRNA                 RF00005    cm        1       71   323069   322986      -    no    1 0.58   0.0   60.4   3.8e-12 !   [scaffold204; 337758bp]
6                    -         tRNA                 RF00005    cm        1       71   318831   318748      -    no    1 0.58   0.0   60.4   3.8e-12 !   [scaffold15; 318926bp]
9                    -         tRNA                 RF00005    cm        1       71    70511    70594      +    no    1 0.58   0.0   60.4   3.8e-12 !   [scaffold169; 287930bp]
17                   -         tRNA                 RF00005    cm        1       71   104071   104154      +    no    1 0.58   0.0   60.4   3.8e-12 !   [scaffold104; 169973bp]
42                   -         tRNA                 RF00005    cm        1       71     3868     3951      +    no    1 0.58   0.0   60.4   3.8e-12 !   [scaffold6; 109363bp]
12                   -         tRNA                 RF00005    cm        1       71   116235   116306      +    no    1 0.51   0.0   60.2   4.3e-12 !   [scaffold74; 253412bp]
32                   -         tRNA                 RF00005    cm        1       71    82236    82165      -    no    1 0.51   0.0   60.2   4.3e-12 !   [scaffold95; 128315bp]
36                   -         tRNA                 RF00005    cm        1       71    75285    75356      +    no    1 0.51   0.0   60.2   4.3e-12 !   [scaffold88; 117957bp]
38                   -         tRNA                 RF00005    cm        1       71    38362    38291      -    no    1 0.51   0.0   60.2   4.3e-12 !   [scaffold131; 114385bp]
45                   -         tRNA                 RF00005    cm        1       71    17483    17554      +    no    1 0.51   0.0   60.2   4.3e-12 !   [scaffold3; 96007bp]
84                   -         tRNA                 RF00005    cm        1       71    24635    24564      -    no    1 0.51   0.0   60.2   4.3e-12 !   [scaffold245; 28497bp]
85                   -         tRNA                 RF00005    cm        1       71      442      513      +    no    1 0.51   0.0   60.2   4.3e-12 !   [scaffold241; 26810bp]
2                    -         tRNA                 RF00005    cm        1       71   357429   357501      +    no    1 0.59   0.0   59.5   6.6e-12 !   [scaffold126; 407826bp]
20                   -         tRNA                 RF00005    cm        1       71    61867    61939      +    no    1 0.59   0.0   59.5   6.6e-12 !   [scaffold19; 160231bp]
45                   -         tRNA                 RF00005    cm        1       71    44327    44399      +    no    1 0.59   0.0   59.5   6.6e-12 !   [scaffold3; 96007bp]
63                   -         tRNA                 RF00005    cm        1       71    25851    25779      -    no    1 0.59   0.0   59.5   6.6e-12 !   [scaffold82; 59985bp]
82                   -         tRNA                 RF00005    cm        1       71     5461     5533      +    no    1 0.59   0.0   59.5   6.6e-12 !   [scaffold250; 30508bp]
104                  -         tRNA                 RF00005    cm        1       71     9507     9435      -    no    1 0.27   0.1   59.4   7.3e-12 !   [scaffold83; 12741bp]
4                    -         tRNA                 RF00005    cm        1       71   163257   163328      +    no    1 0.56   0.0   59.1   8.9e-12 !   [scaffold204; 337758bp]
5                    -         tRNA                 RF00005    cm        1       71   158336   158265      -    no    1 0.56   0.0   59.1   8.9e-12 !   [scaffold5; 325883bp]
7                    -         tRNA                 RF00005    cm        1       71    73652    73581      -    no    1 0.56   0.0   59.1   8.9e-12 !   [scaffold13; 315042bp]
9                    -         tRNA                 RF00005    cm        1       71   127260   127189      -    no    1 0.56   0.0   59.1   8.9e-12 !   [scaffold169; 287930bp]
12                   -         tRNA                 RF00005    cm        1       71    43632    43703      +    no    1 0.56   0.0   59.1   8.9e-12 !   [scaffold74; 253412bp]
12                   -         tRNA                 RF00005    cm        1       71   220357   220428      +    no    1 0.56   0.0   59.1   8.9e-12 !   [scaffold74; 253412bp]
20                   -         tRNA                 RF00005    cm        1       71    66015    66086      +    no    1 0.56   0.0   59.1   8.9e-12 !   [scaffold19; 160231bp]
27                   -         tRNA                 RF00005    cm        1       71    69581    69510      -    no    1 0.56   0.0   59.1   8.9e-12 !   [scaffold89; 141725bp]
42                   -         tRNA                 RF00005    cm        1       71   106508   106579      +    no    1 0.56   0.0   59.1   8.9e-12 !   [scaffold6; 109363bp]
57                   -         tRNA                 RF00005    cm        1       71       78      149      +    no    1 0.56   0.0   59.1   8.9e-12 !   [scaffold40; 69575bp]
69                   -         tRNA                 RF00005    cm        1       71    18538    18467      -    no    1 0.56   0.0   59.1   8.9e-12 !   [scaffold150; 52979bp]
121                  -         tRNA                 RF00005    cm        1       71     2732     2803      +    no    1 0.56   0.0   59.1   8.9e-12 !   [scaffold227; 6348bp]
41                   -         tRNA                 RF00005    cm        1       71   109369   109298      -    no    1 0.47   0.0   58.1   1.7e-11 !   [scaffold21; 109517bp]
106                  -         tRNA                 RF00005    cm        1       71      153      224      +    no    1 0.47   0.0   58.1   1.7e-11 !   [scaffold215; 12564bp]
3                    -         tRNA                 RF00005    cm        1       71   298876   298806      -    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold130; 379648bp]
6                    -         tRNA                 RF00005    cm        1       71   137134   137204      +    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold15; 318926bp]
10                   -         tRNA                 RF00005    cm        1       71    96289    96359      +    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold85; 277317bp]
16                   -         tRNA                 RF00005    cm        1       71    47303    47233      -    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold24; 182967bp]
17                   -         tRNA                 RF00005    cm        1       71     6234     6164      -    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold104; 169973bp]
17                   -         tRNA                 RF00005    cm        1       71   131414   131484      +    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold104; 169973bp]
29                   -         tRNA                 RF00005    cm        1       71   102348   102278      -    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold106; 137185bp]
32                   -         tRNA                 RF00005    cm        1       71    55368    55298      -    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold95; 128315bp]
33                   -         tRNA                 RF00005    cm        1       71    75686    75616      -    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold157; 123644bp]
34                   -         tRNA                 RF00005    cm        1       71    49787    49857      +    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold201; 121681bp]
41                   -         tRNA                 RF00005    cm        1       71    39883    39813      -    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold21; 109517bp]
48                   -         tRNA                 RF00005    cm        1       71    55188    55258      +    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold172; 88871bp]
50                   -         tRNA                 RF00005    cm        1       71    41896    41966      +    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold209; 80536bp]
74                   -         tRNA                 RF00005    cm        1       71     4465     4535      +    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold12; 46136bp]
74                   -         tRNA                 RF00005    cm        1       71    23392    23322      -    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold12; 46136bp]
90                   -         tRNA                 RF00005    cm        1       71      474      544      +    no    1 0.58   0.0   57.9   1.9e-11 !   [scaffold54; 22555bp]
764                  -         tRNA                 RF00005    cm        1       71      107       36      -    no    1 0.53   0.0   57.4   2.6e-11 !   [C28965; 123bp]
12                   -         tRNA                 RF00005    cm        1       71    74674    74745      +    no    1 0.47   0.0   57.2   2.9e-11 !   [scaffold74; 253412bp]
15                   -         tRNA                 RF00005    cm        1       71     5221     5292      +    no    1 0.47   0.0   57.2   2.9e-11 !   [scaffold151; 188840bp]
20                   -         tRNA                 RF00005    cm        1       71   157433   157362      -    no    1 0.47   0.0   57.2   2.9e-11 !   [scaffold19; 160231bp]
25                   -         tRNA                 RF00005    cm        1       71   145296   145367      +    no    1 0.47   0.0   57.2   2.9e-11 !   [scaffold163; 150869bp]
27                   -         tRNA                 RF00005    cm        1       71    77441    77370      -    no    1 0.47   0.0   57.2   2.9e-11 !   [scaffold89; 141725bp]
37                   -         tRNA                 RF00005    cm        1       71    64496    64425      -    no    1 0.47   0.0   57.2   2.9e-11 !   [scaffold59; 115284bp]
77                   -         tRNA                 RF00005    cm        1       71     3758     3829      +    no    1 0.47   0.0   57.2   2.9e-11 !   [scaffold123; 41731bp]
11                   -         tRNA                 RF00005    cm        1       71    59060    58988      -    no    1 0.62   0.0   56.9   3.5e-11 !   [scaffold137; 261062bp]
140                  -         tRNA                 RF00005    cm        1       71      278      348      +    no    1 0.35   0.0   56.6   4.5e-11 !   [scaffold246; 2923bp]
27                   -         tRNA                 RF00005    cm        1       71   109773   109878      +    no    1 0.45   0.0   56.5   4.7e-11 !   [scaffold89; 141725bp]
